X,Y,Z
0.098877,0.055664,0.775635
0.003906,0.031738,1.001465
-0.074219,-0.046631,0.918213
0.024658,-0.003662,1.056152
-0.202637,-0.057861,1.02417
-0.181152,-0.089111,0.951904
-0.063232,0.00708,0.978516
-0.068848,0.01123,0.977783
-0.068604,0.012451,0.980225
-0.06665,0.01001,0.970703
-0.069092,0.010254,0.979004
-0.062744,0.01416,0.977051
-0.065186,0.01123,0.973145
-0.064697,0.010742,0.970215
-0.063721,0.011719,0.981689
-0.065186,0.010498,0.973389
-0.019531,0.02417,0.980225
-0.151855,0.023438,0.886475
-0.048828,-0.083252,0.692627
-0.105957,0.116699,1.013428
-0.022705,0.109863,1.098633
0.14502,-0.003418,0.896729
0.145264,0.039795,0.832275
0.130371,-0.051025,0.928955
-0.02002,-0.108154,1.02124
-0.047852,-0.23291,0.888428
-0.060303,-0.089111,1.029541
-0.039307,0.031006,1.016357
-0.229492,0.192627,1.005371
-0.069092,0.007568,0.97583
-0.068115,0.01001,0.977539
-0.07666,0.12793,0.955811
-0.043701,0.131836,1.071533
0.016846,0.017822,0.917725
-0.153076,0.085693,1.251221
-0.070557,-0.106689,0.980225
-0.035645,-0.063477,0.9375
-0.169678,-0.02002,1.052002
-0.145752,-0.014648,0.977295
-0.064697,0.006592,0.974854
-0.067383,0.005859,0.974609
-0.064697,0.009033,0.979492
-0.065674,0.01001,0.982422
-0.091797,0.023926,1.015869
-0.066895,0.00708,0.970703
-0.067139,0.01123,0.981689
-0.066162,0.01416,0.979736
-0.212402,0.070557,1.081787
-0.162842,0.023926,0.845947
-0.062744,0.091553,1.129395
0.117188,0.074707,0.977783
0.060791,0.079102,0.934082
0.023193,0.033936,1.236084
-0.001465,-0.134766,1.013916
0.026611,-0.088623,1.121094
-0.041992,-0.077637,0.979736
-0.053223,0.012939,0.929688
-0.126709,0.037842,0.94043
-0.099365,0.224609,0.969971
-0.064209,0.008301,0.978027
-0.12793,-0.061768,0.955566
-0.05127,0.067383,1.023438
0.020752,0.017822,0.906738
-0.143555,-0.010498,1.213867
-0.055176,-0.015381,0.973389
-0.331055,-0.134521,1.025879
-0.172119,-0.031982,0.96167
-0.067383,0.010986,0.97998
-0.066406,0.004883,0.976318
-0.065918,0.010254,0.978516
-0.069092,0.007324,0.976074
-0.067383,0.010254,0.974365
-0.06665,0.011475,0.986328
-0.063965,0.006592,0.97876
-0.067383,0.007812,0.977783
-0.164307,-0.083496,0.974365
-0.132324,0.036621,0.932861
-0.10083,-0.046875,0.82251
-0.192383,0.047607,1.032227
0.026367,0.086914,0.906494
0.116211,0.00415,0.832275
0.113281,0.146729,0.991699
0.141846,-0.003662,0.860352
0.143555,-0.019775,1.061035
-0.057129,-0.2229,1.063721
0.105713,-0.052734,0.89502
-0.06543,-0.128418,0.861328
-0.151123,0.018555,1.232422
-0.351074,0.276123,0.918945
-0.104004,0.09375,1.022705
-0.049072,0.07959,1.128174
0.107422,0.052734,0.890137
0.095215,-0.00708,0.830811
-0.091064,-0.05957,1.032227
-0.028809,-0.07666,0.757324
-0.140381,-0.019043,0.947266
-0.065186,0.005127,0.974121
-0.066406,0.003174,0.976074
-0.063477,0.003906,0.979248
-0.065186,0.009033,0.97876
-0.062988,0.008789,0.974365
-0.066162,0.00708,0.971191
-0.062988,0.005371,0.971924
-0.06665,0.010986,0.978027
-0.061523,0.00708,0.981445
-0.030762,0.018311,0.980225
-0.164307,0.064941,1.09668
-0.187012,0.060059,0.909912
-0.222168,0.022705,0.960938
0.158936,0.063232,0.835449
-0.146729,0.150391,1.040771
0.082764,0.095215,1.097656
-0.108154,-0.015381,0.9729
0.070557,-0.009521,0.837158
-0.029297,-0.157227,0.945801
0.060303,-0.063477,0.977051
0.00708,-0.132324,1.198486
-0.491943,0.223633,0.994629
-0.086914,0.047119,1.046387
0.002686,0.022461,0.974365
-0.040039,0.072021,1.058105
-0.054443,-0.05542,0.828369
-0.139648,-0.052002,1.02124
-0.135742,-0.053467,0.798096
-0.133301,0.000732,0.969482
-0.070557,0.006348,0.978027
-0.06958,0.006836,0.976074
-0.064453,0.009033,0.976074
-0.065918,0.008057,0.974854
-0.068848,0.008789,0.973877
-0.064941,0.01123,0.97876
-0.06543,0.005859,0.97583
-0.065674,0.009766,0.97998
-0.067383,0.010254,0.973389
-0.063232,0.010254,0.976074
-0.059814,0.005615,0.965576
-0.125,0.025391,0.929199
-0.280029,0.063477,0.892334
-0.198242,0.033447,0.701904
-0.118652,-0.05249,0.939209
0.042969,0.138184,1.104736
-0.017334,0.0896,1.058594
-0.035645,0.129883,1.072021
0.213867,-0.05127,0.776855
0.204346,-0.188232,0.931641
0.094482,-0.186768,1.067871
-0.171631,-0.175781,1.186523
-0.367676,0.195801,0.968018
-0.062744,0.012939,0.976807
0.095459,0.116455,0.943604
-0.027588,0.045654,0.993408
-0.096191,-0.073975,1.065674
-0.150879,0.01001,1.0354
-0.4646,-0.236572,0.865479
-0.066895,0.008545,0.97998
-0.064941,0.006104,0.976562
-0.06665,0.006836,0.976562
-0.065674,0.005615,0.979736
-0.067627,0.009277,0.977783
-0.068848,0.01001,0.983643
-0.06665,0.007324,0.976562
-0.06543,0.01123,0.981934
-0.066162,0.008301,0.983154
-0.064453,0.006592,0.977783
-0.065186,0.009521,0.981689
-0.062256,0.010498,0.974365
-0.264893,-0.020996,0.94873
