X,Y,Z
-0.164062,-0.031006,1.006348
0.09668,-0.107422,1.051514
0.023682,-0.016113,1.213867
0.124512,0.062012,1.083496
0.096924,0.041992,0.981689
-0.07251,-0.059326,0.988525
-0.07251,0.018311,0.843018
-0.10498,0.094971,1.037109
-0.14502,0.033691,0.939941
-0.199219,-0.022705,0.868164
-0.065186,0.012451,0.97998
-0.063721,0.01001,0.971436
-0.061768,0.000244,0.947021
-0.064453,0.011719,0.973633
-0.072021,0.008789,0.975586
-0.173828,0.017334,0.961426
-0.151123,-0.046387,0.828369
-0.200195,0.003174,1.052002
-0.03418,-0.000732,0.910889
-0.050049,0.058838,0.998535
-0.133545,0.090332,1.044922
0.121094,0.007568,1.019775
-0.037842,0.023438,0.973389
0.018555,0.037598,1.070312
-0.136963,-0.029053,0.884766
-0.272461,-0.047119,0.900391
-0.14209,0.038086,0.959961
-0.047852,0.11084,0.980225
-0.058594,0.116943,0.963623
-0.011719,0.04834,0.937744
-0.051758,-0.0979,0.945312
-0.084473,-0.118408,0.998535
-0.297119,-0.044189,0.992676
-0.198486,-0.004395,0.805908
-0.049072,-0.009521,0.961426
0.058105,-0.034424,1.020752
0.128906,0.039795,0.999756
0.14917,0.023926,1.023438
0.09082,0.029785,1.015381
-0.119385,0.015137,0.943115
-0.124023,0.032471,0.854492
-0.063477,0.012207,0.980469
-0.059082,0.011475,0.952393
-0.062744,0.010498,0.977539
-0.251465,0.095703,0.97876
-0.187256,0.034668,0.963623
-0.157471,-0.005859,0.907715
-0.045654,-0.005615,0.88916
-0.10376,-0.004883,0.988037
0.087891,0.034912,1.060303
0.229736,-0.036377,0.939941
0.054443,0.038086,1.031006
0.051025,0.014404,0.785889
-0.260986,0.075928,0.906494
-0.05249,0.076172,0.998047
-0.050293,0.193604,0.958008
0.040771,0.10791,0.97998
-0.044434,-0.079102,1.002197
-0.185547,-0.162842,1.029541
-0.202881,0.004883,1.007324
-0.134033,-0.015381,0.978516
-0.008057,0.05957,0.981201
0.106689,0.022705,1.06543
0.272217,0.003174,0.962158
0.113525,0.050049,1.034912
-0.054688,0.116455,1.174805
-0.11792,0.020264,0.931396
-0.239258,0.083008,1.058594
-0.141357,0.005127,0.922119
-0.125244,-0.019043,0.968994
-0.064697,0.007324,0.973145
-0.069092,0.010986,0.975098
-0.07373,0.012207,0.979248
-0.069092,0.010986,0.977783
-0.202393,0.042725,0.954346
-0.028564,0.000977,1.046143
-0.174316,-0.023926,1.040527
-0.161133,0.066406,0.99707
-0.047852,0.013916,1.064697
0.259277,-0.050537,0.852539
0.094238,-0.024658,0.977539
0.059082,-0.009766,0.976807
-0.228027,-0.003174,0.945312
-0.332764,0.019531,1.000488
-0.126221,0.042236,0.971191
-0.034668,0.136719,1.037842
-0.080811,0.078369,1.001221
0.044922,-0.04126,0.928223
-0.122803,-0.224609,1.130371
-0.237793,-0.030762,0.990723
-0.264404,0.090332,1.0896
-0.064209,0.054932,0.989258
0.055908,-0.030762,0.759521
0.127441,0.005371,0.970703
0.233887,0.048828,0.898193
0.127441,0.01001,0.9104
-0.026123,-0.058838,0.86499
-0.14624,0.104004,1.078369
-0.134033,0.021484,0.88501
-0.116211,-0.003174,0.862549
-0.071533,0.008301,0.971924
-0.066895,0.008301,0.980713
-0.066162,0.010254,0.987061
-0.06543,0.009033,0.97583
-0.215332,0.038818,0.896973
-0.223389,0.03418,1.031494
-0.063477,-0.008057,0.781982
-0.039307,0.012451,0.895264
0.139404,-0.010254,0.935547
-0.031982,0.11084,0.976807
0.127441,-0.006348,0.890381
0.047607,-0.064209,0.878174
-0.320557,0.059082,1.026367
-0.125732,0.033936,0.932861
-0.07666,0.140869,0.850586
-0.063965,0.158936,0.93042
-0.115234,-0.040527,1.158691
-0.05542,-0.254395,0.969727
-0.084961,-0.001953,0.974854
-0.141846,0.010986,0.998779
-0.170898,-0.043457,0.78125
0.005859,0.070068,1.125
0.195557,-0.038574,0.988037
0.181885,0.037842,1.02002
0.027588,0.015625,1.09375
-0.058105,0.044434,1.072754
0.096436,0.019775,0.799561
-0.252686,0.005127,0.856934
-0.180908,-0.032715,0.919189
-0.064941,0.007812,0.978271
-0.067139,0.012451,0.977539
-0.070557,0.01123,0.97583
-0.062256,0.009766,0.98877
-0.064453,0.008545,0.975098
-0.194336,-0.030273,0.934814
-0.171143,-0.006592,0.822021
-0.201416,0.068359,1.106689
-0.027588,0.08374,1.058594
0.15625,-0.000977,0.657715
0.188965,0.012939,1.024414
-0.04126,0.010498,0.974854
0.131836,0.023193,1.077881
-0.059082,-0.022461,0.961914
-0.178467,0.060059,0.861816
-0.099854,0.011475,0.968018
-0.05957,0.121338,1.000732
-0.04126,0.062256,0.901855
-0.069092,0.027588,0.905273
-0.063477,-0.122559,0.951904
-0.116455,-0.203857,0.983154
-0.214355,-0.017334,1.022949
-0.221436,0.062256,1.047119
-0.024902,-0.000732,1.10376
0.20874,-0.023438,0.939697
0.405029,0.03125,0.945068
0.090088,0.038086,0.892822
-0.239014,0.022949,1.084229
-0.298584,0.055908,1.13208
-0.23999,0.006836,0.942871
-0.154053,0.002197,0.976318
-0.063477,0.011475,0.974854
-0.065186,0.009277,0.982178
-0.223877,0.097168,1.212158
-0.061768,0.005615,0.981201
-0.253418,0.018555,0.986572
-0.23584,0.018555,0.989746
-0.020264,-0.025635,0.929688
0.029053,-0.032227,0.909424
0.00415,-0.05835,1.027344
0.192383,-0.005615,1.154541
0.083252,0.073242,0.96875
0.16333,-0.057129,0.791016
-0.025635,-0.100586,0.848877
-0.314453,0.011475,0.979248
-0.151855,0.019531,0.982666
-0.061035,0.07251,0.964355
0.062744,0.238525,0.90625
-0.077881,0.229004,1.020996
-0.018799,0.012207,0.941162
-0.107178,-0.279541,0.983398
-0.186768,0.005371,0.972412
-0.358154,-0.003906,0.991455
0.078857,0.05127,1.024902
-0.015869,-0.09668,0.956299
0.098633,-0.025879,0.895508
-0.137939,0.065674,0.979004
0.242676,0.107666,1.016357
0.212646,0.025879,1.098633
0.137451,0.018799,0.895508
0.014893,-0.005371,0.804932
-0.365234,0.011475,1.072754
-0.063721,0.00708,0.974854
-0.064209,0.00708,0.980713
-0.225342,-0.005615,0.916992
-0.162354,0.070557,1.005859
-0.05835,0.068604,0.847168
0.04834,-0.001465,0.958984
0.065674,0.02002,0.895996
0.042969,0.117432,0.989502
0.204102,0.043457,0.997559
0.054932,0.012939,1.098145
-0.189941,-0.006836,0.897949
-0.415283,0.056885,0.968262
-0.087158,0.079834,0.952881
-0.102783,0.247559,1.060547
0.118408,0.160645,0.750244
-0.099854,-0.139404,0.901123
-0.078613,-0.244629,0.959473
-0.188965,-0.042725,0.728516
-0.043701,-0.04248,0.864746
0.077148,-0.015381,0.831543
0.07666,0.057129,1.003418
0.037598,0.060791,0.991211
0.144531,0.022461,0.989502
0.119629,0.054932,1.197266
-0.107178,0.061035,1.23999
-0.094238,0.076904,0.896973
-0.249023,0.000488,0.866455
-0.273682,0.009033,0.98584
-0.064697,0.006104,0.977539
-0.067139,0.011719,0.976562
-0.063477,0.010254,0.980957
-0.063721,0.012451,0.977783
-0.061768,0.007568,0.975098
-0.194092,-0.001221,0.868408
-0.13208,0.025879,0.960938
-0.211182,0.042725,1.080078
0.024658,-0.006592,0.828369
0.196045,0.017578,0.97998
-0.065186,0.031494,0.983398
0.122314,-0.022949,1.031982
0.075195,0.018555,0.934082
-0.246338,-0.017334,0.860596
-0.242432,0.028076,0.984863
-0.026123,0.052734,0.972168
-0.084961,0.182129,0.900879
0.001953,0.093506,1.013916
0.038574,-0.165283,0.806396
-0.0625,-0.029297,0.963379
-0.295654,0.050537,1.119141
-0.271484,-0.109131,0.884766
-0.032471,0.002686,0.985107
0.290527,0.062256,0.948486
0.223633,0.097168,0.95874
0.258545,0.015137,0.922852
0.033203,0.058838,1.0625
-0.208252,0.049561,1.085938
-0.394531,0.0354,0.965088
-0.246338,-0.067139,0.958252
-0.068604,0.007568,0.978271
-0.064209,0.008789,0.980225
-0.06665,0.007812,0.980957
-0.067139,0.01001,0.977539
-0.031006,0.041016,0.97583
-0.291016,0.025391,0.907227
-0.116699,-0.047852,0.93335
-0.095215,0.000488,0.837158
0.12207,-0.014648,0.897461
0.151855,-0.020752,0.954102
0.001221,0.001953,0.97876
0.276611,0.04834,0.985596
0.201416,0.00415,0.87915
-0.233887,-0.03418,1.090576
