X,Y,Z
-0.422852,0.132812,0.913818
-0.212646,0.199951,1.094238
0.388672,-0.074219,0.959229
0.036133,-0.001465,0.954834
-0.034668,0.083984,1.016602
0.091797,-0.02124,0.908203
-0.102539,-0.014404,1.065918
-0.062988,-0.003662,0.886719
-0.229248,0.000732,0.969238
-0.068848,0.009033,0.973633
-0.065674,0.008789,0.979248
-0.067139,0.009521,0.977051
-0.063965,0.004395,0.984131
-0.061279,0.007812,0.979736
0.056885,-0.006104,1.00708
0.159668,0.033936,0.884766
0.031738,0.072754,1.000244
-0.097168,0.014893,0.911377
-0.449707,0.027588,1.00415
-0.064941,0.008545,0.972656
-0.331055,0.137695,0.966553
-0.34082,0.1521,1.037354
0.208252,0.025635,1.032227
0.292725,0.0271,0.994873
0.207031,-0.052246,0.966064
0.10083,0.025879,1.151611
-0.140625,-0.051758,1.224365
-0.154297,-0.037842,0.986816
-0.337646,-0.045654,0.940918
-0.064209,0.006348,0.981934
-0.203857,0.106689,1.025635
-0.237549,0.167725,0.939697
-0.125244,0.109375,0.983154
0.040283,0.03418,1.023193
0.104492,-0.06543,0.972168
0.032959,0.0,0.998779
0.082031,-0.024902,0.941895
-0.056396,0.0,0.933594
0.006348,0.026855,0.859619
-0.278564,-0.008301,0.996338
-0.269775,-0.026367,0.922363
-0.065674,0.01001,0.977539
-0.067871,0.00708,0.979736
-0.063965,0.012939,0.988525
0.146729,0.029053,0.95874
0.031982,0.003418,1.141602
-0.05249,-0.031738,0.906738
-0.295898,-0.036621,0.875
-0.349854,0.060059,0.901367
-0.179932,0.164062,0.974609
-0.192139,0.104492,0.850586
-0.309082,0.113525,1.023926
0.172363,0.167725,1.007324
0.264893,-0.058594,0.970703
0.143311,-0.024658,1.065918
0.148438,0.026855,0.919922
-0.112549,-0.008545,0.974365
-0.197021,0.085449,1.028809
-0.238037,-0.038086,0.928223
-0.062012,0.009766,0.971924
-0.188232,0.020264,0.932617
-0.312012,0.078125,0.983643
-0.003418,0.028564,0.962158
0.008789,0.015869,1.022949
0.155029,-0.03833,1.098389
0.105469,-0.026611,1.061279
0.103516,0.003418,0.936279
0.044189,0.008301,0.831787
-0.102539,-0.000488,0.817383
-0.1875,-0.022705,1.033936
-0.120605,0.005859,0.907227
-0.06543,0.007324,0.977783
-0.062256,0.008057,0.977539
0.021973,0.031738,0.924316
0.068604,0.040039,1.013184
0.113525,0.042236,0.997803
-0.022461,-0.019043,0.8396
0.12915,-0.0271,0.85791
-0.125732,-0.001953,0.960693
-0.11084,-0.063721,0.949951
-0.35791,0.191162,1.070068
-0.152344,0.15332,0.822998
-0.101318,0.083008,0.965332
0.189209,0.080811,0.929199
0.225342,-0.086182,1.003662
0.268066,-0.029053,0.875244
-0.025635,-0.012939,0.960693
-0.105713,0.046143,0.89502
-0.269531,-0.024414,1.047119
-0.068604,0.009766,0.976807
-0.284424,0.073975,0.962891
-0.381592,0.175293,1.173584
-0.219238,0.052734,1.094482
0.251465,-0.031006,1.021484
0.008057,-0.154785,1.139404
0.173584,-0.001709,1.00293
-0.077881,-0.08252,1.051025
-0.113281,-0.007812,1.0
-0.164551,-0.063232,0.926514
-0.177002,-0.012207,0.921387
-0.067383,0.004883,0.977051
-0.066162,0.008789,0.982178
-0.061768,0.00708,0.973633
-0.065918,0.008301,0.982178
-0.063477,0.006348,0.987549
0.216309,0.050781,0.945557
0.135254,-0.030762,0.887939
-0.095947,0.020996,1.007324
-0.148682,-0.03125,0.943115
-0.258545,-0.000977,0.978027
-0.268799,0.079346,0.849121
-0.456055,0.205322,1.234375
-0.035156,0.136963,0.855469
0.42749,-0.020508,0.922119
0.314941,-0.128906,0.978271
0.170898,-0.057129,0.990967
0.000977,0.005127,1.01416
-0.076172,-0.092529,0.902588
-0.146973,-0.020508,0.938477
-0.12085,-0.070312,0.977295
-0.211914,0.078369,1.060791
-0.204834,0.112305,0.953613
0.010742,0.061523,1.004883
0.274414,0.034668,0.953125
0.194092,-0.080566,0.980957
0.141602,0.051514,0.948975
0.057617,-0.092773,0.815186
-0.109131,-0.014404,1.069824
-0.336914,0.017334,1.153076
-0.218018,-0.068848,0.946045
-0.063721,0.010498,0.978516
-0.064941,0.006348,0.973877
-0.062744,0.008057,0.977295
-0.079834,0.016113,1.034912
-0.224121,-0.156006,0.985352
0.157959,0.011963,0.97168
0.018311,0.023438,1.024658
-0.082275,0.032959,1.022217
-0.202148,-0.080322,1.01123
-0.264404,-0.046387,0.961182
-0.376221,0.078613,1.035889
-0.217529,0.139893,1.041504
-0.17627,0.134277,1.003906
0.361816,-0.10376,0.915527
0.072998,-0.053711,0.996582
-0.077393,-0.011475,0.939209
0.027588,-0.044922,0.985107
-0.296143,0.015381,0.983643
-0.239746,-0.049561,0.898926
-0.0625,0.005615,0.980225
-0.153809,0.082764,0.952148
-0.002686,0.019775,1.008057
0.068115,0.061768,1.04541
0.202393,0.176025,1.004883
0.154785,-0.010498,1.092773
0.053467,0.028076,1.104004
0.099121,0.0354,0.918213
-0.111084,-0.088379,0.961914
-0.166748,0.026367,0.98584
-0.274414,-0.053955,0.948486
-0.066162,0.009277,0.979492
-0.066406,0.007812,0.977295
-0.060303,0.007324,0.973389
-0.135742,0.290283,1.601562
0.084717,0.01709,0.967529
0.186035,0.012207,1.081787
-0.060547,0.023438,0.922607
-0.106934,-0.060303,0.864746
-0.240479,-0.010498,1.030518
-0.275879,0.025146,0.925293
-0.265625,0.052734,0.987793
-0.00293,0.056885,0.885986
0.292236,0.075928,1.0
0.377686,-0.093262,1.12915
0.098633,-0.032227,1.029297
-0.04126,-0.096436,0.962891
-0.294678,0.124268,1.198486
-0.364258,-0.04248,0.904053
-0.199219,0.026123,0.957031
-0.190674,0.081787,0.988525
-0.126465,0.198975,0.996582
0.152344,0.119141,1.074463
0.153076,-0.089844,1.001709
0.187012,0.002441,0.990479
0.117432,-0.067627,1.044189
-0.096191,-0.028076,0.929443
-0.358887,0.009033,1.034912
-0.192627,-0.056641,0.960205
-0.064941,0.008057,0.973389
-0.061523,0.008057,0.974121
-0.06543,0.006592,0.975586
-0.06665,0.004395,0.973877
-0.067871,0.003906,0.974365
-0.054443,0.006836,0.950439
0.270264,0.060059,1.071533
0.083008,-0.027344,1.08374
-0.089355,0.053223,0.963379
-0.321533,0.089355,0.863037
-0.061523,0.008545,0.97998
-0.313965,0.032471,1.031494
-0.156738,0.021729,0.936035
0.128906,0.145996,1.010254
0.574951,0.163574,0.915039
0.160156,0.017578,0.991943
0.113281,-0.03418,1.028564
-0.228271,0.0,1.039307
-0.297852,-0.074951,0.979004
-0.060547,0.01001,0.972168
-0.211914,0.039795,0.947754
-0.199707,0.109131,0.872559
-0.049561,0.142578,1.010986
-0.069092,0.180176,1.055176
0.188721,0.075684,0.946289
0.166504,-0.027344,0.781006
0.122559,-0.026611,1.064941
0.084717,-0.012451,0.852539
-0.060059,-0.043213,0.932617
-0.326172,-0.051514,0.983887
-0.061035,0.008301,0.979736
-0.063965,0.008789,0.976074
-0.063965,0.012451,0.976074
-0.068359,0.007324,0.981689
-0.063965,0.006836,0.96875
-0.059814,0.006592,0.970215
-0.065674,0.009766,0.976562
0.093018,0.062744,1.026367
0.0979,0.063477,0.953369
0.0354,-0.088379,0.987549
-0.003906,-0.043945,0.866455
-0.432373,-0.062744,1.009277
-0.166992,0.005859,0.968506
-0.265137,0.063232,0.87915
0.037842,-0.03125,0.893066
0.017334,-0.134033,0.958984
0.204834,-0.047607,1.029785
0.22876,-0.004639,0.882812
0.126221,-0.083252,0.99585
-0.144531,-0.130615,0.953613
-0.21582,0.046143,0.908447
-0.064209,0.008301,0.983398
-0.144775,-0.012207,0.945801
-0.240967,-0.003662,0.949219
0.154297,0.171143,0.928223
-0.014404,0.106445,0.975586
0.156006,0.044922,1.000488
0.071533,-0.017334,1.029297
0.034668,-0.08252,0.927734
-0.010742,0.045898,1.01001
-0.183594,0.006348,1.141357
-0.383057,-0.008301,0.910645
-0.062012,0.010742,0.972656
-0.065918,0.008789,0.9729
-0.062988,0.008057,0.973877
-0.064453,0.011719,0.974121
-0.062744,0.015137,0.971924
0.188232,0.068604,0.978027
0.237061,0.008057,0.885254
0.031738,0.04834,0.994385
-0.100098,-0.008545,0.941162
-0.064453,-0.122803,1.002441
0.003906,0.69458,1.005615
-0.072754,-0.019287,0.985352
-0.038818,0.052246,0.983154
0.114502,0.23877,1.092773
0.311279,0.178223,0.999023
0.107178,0.053955,1.098877
0.075928,0.056885,0.968994
-0.188721,0.063721,1.11377
-0.116455,0.07251,0.947754
-0.32959,0.033936,0.979004
-0.164551,0.015137,0.949707
-0.290283,0.0354,0.991455
-0.217529,0.098389,0.886475
-0.014648,0.148193,0.972656
0.428711,0.125732,0.874512
0.268799,-0.003906,0.939941
0.153076,-0.019287,1.142578
0.000488,-0.070557,0.932373
-0.106445,-0.015625,0.916016
-0.242188,-0.026611,0.904541
-0.236572,-0.022461,0.977051
-0.068359,0.008789,0.980469
-0.061279,0.010986,0.978027
-0.063477,0.012207,0.982178
0.130615,0.027832,1.041748
0.012207,0.041748,1.133789
0.084473,-0.032959,0.900391
-0.285156,0.00415,0.910645
-0.22876,-0.025146,1.004395
-0.061035,0.006104,0.98291
-0.439209,0.122803,0.989014
-0.306152,0.015625,1.015381
0.123047,0.136719,0.768311
0.317627,-0.042725,0.991699
0.158203,-0.175537,0.949951
0.1604,-0.027588,1.01416
0.112061,0.02832,0.973633
-0.19458,-0.041748,0.988525
-0.239502,-0.048828,0.969727
-0.067383,0.009277,0.979492
-0.162354,-0.015381,0.960205
-0.145996,-0.04834,0.936035
-0.109863,0.042236,1.032715
-0.248047,0.11084,1.014893
0.270264,0.005127,0.763916
0.110352,0.018066,1.033447
0.083984,-0.100098,0.884033
0.081299,-0.015137,0.85791
-0.017334,-0.07959,0.843994
-0.100098,0.041748,0.960938
-0.222168,-0.010986,0.869873
-0.086914,0.005371,0.972656
-0.062256,0.007812,0.974854
-0.061523,0.008301,0.9729
0.101318,-0.052979,1.015869
0.023926,0.006836,1.065918
-0.070557,0.011719,0.94751
-0.021484,-0.018799,0.942383
-0.48999,0.028564,0.934814
-0.199219,0.06665,1.007812
0.075195,0.156982,0.953613
-0.166016,0.033447,0.942383
0.001953,-0.037598,1.048584
0.23584,0.081055,1.059082
0.110107,-0.022461,0.927246
